Area Code,Area,Element Code,Months Code,Months,Year Code,Year,Unit,Value
11,Austria,7271,7003,March,2011,2011,Celsius,1.95
11,Austria,7271,7003,March,2012,2012,Celsius,3.801
11,Austria,7271,7003,March,2013,2013,Celsius,-1.141
11,Austria,7271,7003,March,2014,2014,Celsius,4.026
11,Austria,7271,7003,March,2015,2015,Celsius,1.911
11,Austria,7271,7003,March,2016,2016,Celsius,1.46
11,Austria,7271,7003,March,2017,2017,Celsius,4.335
11,Austria,7271,7003,March,2018,2018,Celsius,-0.579
11,Austria,7271,7003,March,2019,2019,Celsius,3.332
11,Austria,7271,7004,April,1961,1961,Celsius,3.571
11,Austria,7271,7004,April,1962,1962,Celsius,0.717
11,Austria,7271,7004,April,1963,1963,Celsius,1.318
11,Austria,7271,7004,April,1964,1964,Celsius,1.342
11,Austria,7271,7004,April,1965,1965,Celsius,-1.035
11,Austria,7271,7004,April,1966,1966,Celsius,2.075
11,Austria,7271,7004,April,1967,1967,Celsius,-0.683
11,Austria,7271,7004,April,1968,1968,Celsius,1.799
11,Austria,7271,7004,April,1969,1969,Celsius,-0.097
11,Austria,7271,7004,April,1970,1970,Celsius,-1.411
11,Austria,7271,7004,April,1971,1971,Celsius,1.444
11,Austria,7271,7004,April,1972,1972,Celsius,0.017
11,Austria,7271,7004,April,1973,1973,Celsius,-2.046
11,Austria,7271,7004,April,1974,1974,Celsius,-0.187
11,Austria,7271,7004,April,1975,1975,Celsius,-0.409
11,Austria,7271,7004,April,1976,1976,Celsius,0.144
11,Austria,7271,7004,April,1977,1977,Celsius,-1.199
11,Austria,7271,7004,April,1978,1978,Celsius,-0.84
11,Austria,7271,7004,April,1979,1979,Celsius,-1.29
11,Austria,7271,7004,April,1980,1980,Celsius,-2.22
11,Austria,7271,7004,April,1981,1981,Celsius,0.816
11,Austria,7271,7004,April,1982,1982,Celsius,-1.416
11,Austria,7271,7004,April,1983,1983,Celsius,1.76
11,Austria,7271,7004,April,1984,1984,Celsius,-0.83
11,Austria,7271,7004,April,1985,1985,Celsius,0.199
11,Austria,7271,7004,April,1986,1986,Celsius,0.704
11,Austria,7271,7004,April,1987,1987,Celsius,1.013
11,Austria,7271,7004,April,1988,1988,Celsius,0.674
11,Austria,7271,7004,April,1989,1989,Celsius,0.964
11,Austria,7271,7004,April,1990,1990,Celsius,-0.424
11,Austria,7271,7004,April,1991,1991,Celsius,-0.723
11,Austria,7271,7004,April,1992,1992,Celsius,0.488
11,Austria,7271,7004,April,1993,1993,Celsius,1.665
11,Austria,7271,7004,April,1994,1994,Celsius,0.225
11,Austria,7271,7004,April,1995,1995,Celsius,1.173
11,Austria,7271,7004,April,1996,1996,Celsius,0.788
11,Austria,7271,7004,April,1997,1997,Celsius,-1.621
11,Austria,7271,7004,April,1998,1998,Celsius,1.542
11,Austria,7271,7004,April,1999,1999,Celsius,1.572
11,Austria,7271,7004,April,2000,2000,Celsius,3.285
11,Austria,7271,7004,April,2001,2001,Celsius,-0.222
11,Austria,7271,7004,April,2002,2002,Celsius,0.562
11,Austria,7271,7004,April,2003,2003,Celsius,0.371
11,Austria,7271,7004,April,2004,2004,Celsius,1.495
11,Austria,7271,7004,April,2005,2005,Celsius,1.4
11,Austria,7271,7004,April,2006,2006,Celsius,1.554
11,Austria,7271,7004,April,2007,2007,Celsius,4.124
11,Austria,7271,7004,April,2008,2008,Celsius,0.863
11,Austria,7271,7004,April,2009,2009,Celsius,4.073
11,Austria,7271,7004,April,2010,2010,Celsius,1.366
11,Austria,7271,7004,April,2011,2011,Celsius,3.638
11,Austria,7271,7004,April,2012,2012,Celsius,1.421
