Time (s),Sensor 1 (m),Sensor 2 (m),Sensor 3 (m),Sensor 4 (m),Sensor 5 (m)
148,0.046353119,0.044396889,0.047067001,0.258860983,0.051633119
149,0.045046619,0.045606665,0.046765154,0.258587597,0.051654939
150,0.044395707,0.043054381,0.047544252,0.258730215,0.050267096
151,0.045976315,0.042227623,0.046791389,0.258567042,0.050339653
152,0.043661727,0.044976729,0.046754641,0.258544196,0.049621515
153,0.043615096,0.04538672,0.046993029,0.25889006,0.05037885
154,0.045860105,0.044476142,0.046279551,0.258665238,0.050382583
155,0.043785291,0.04433999,0.047050301,0.258755109,0.049862604
156,0.044501064,0.041764549,0.047465974,0.258500824,0.049680053
157,0.044439709,0.044449985,0.047305627,0.258925351,0.051271207
158,0.044220212,0.044363502,0.046912123,0.258946106,0.051163179
159,0.045566344,0.043766959,0.047930583,0.258731449,0.050130846
160,0.044762521,0.044700263,0.048672918,0.258831931,0.052229197
161,0.04427509,0.045289637,0.047248092,0.259304621,0.051163167
162,0.045760344,0.041840768,0.047384363,0.258344093,0.051336856
163,0.022708348,0.046630631,0.047016893,0.259938406,0.050935923
164,0.045873005,0.043600084,0.048447661,0.258548777,0.051582732
165,0.046670375,0.045306295,0.04903562,0.258525931,0.052054987
166,0.044194392,0.043166232,0.047521093,0.258605862,0.053454182
167,0.045459817,0.042699,0.047284865,0.259055717,0.053274653
168,0.044724387,0.040945766,0.04735812,0.258786262,0.052843029
169,0.044982069,0.044267571,0.045961945,0.25867437,0.052416007
170,0.045915859,0.045974532,0.047727983,0.258717748,0.053485229
171,0.045149928,0.043003528,0.046492161,0.258592142,0.052954617
172,0.044645149,0.043281908,0.047620595,0.258914967,0.052094374
173,0.044607581,0.044964229,0.047872815,0.258713184,0.051984731
174,0.045476319,0.043687705,0.047037836,0.25868222,0.052334275
175,0.044648101,0.044085908,0.046794961,0.25855791,0.052623051
176,0.045343605,0.044017646,0.047305634,0.258499774,0.050520778
177,0.044607591,0.044901639,0.047103747,0.258226791,0.051436377
